id,election,party,party_id_source,alliance,seats,vote_share,votes,person,data_source,description,comment,data_json
1248,536,1110,VLD,,3,11.37,678421,,ibz,,,
1249,108,1167,PdA,,4,2.2,21088,,bafs,,,
1250,687,757,Esquerra Republicana de Catalunya,,1,0.85,194715,,epp,,,
1251,257,870,"Független Kisgazda-,Földmunkás és Polgári Párt -- fkgp",,44,11.7,576315,,essex,,,
1252,523,702,Senterpartiet,,21,11.03,146312,,nos-sv,,,
1254,204,1409,Volkspartij voor Vrijheid en Democratie,,17,10.73,738202,,verk,,,
1255,570,209,Centrumdemocraten,,3,2.46,220734,,verk,,,
1256,593,310,Déi Gréng,,1,15.02,163204,,epl,,,
1257,667,300,Anti-Revolutionaire Partij,,14,9.39,563091,,verk,,,
1258,164,370,PA,,0,0.71,181868,,epp,,,"{""no_seat_rule"": true}"
1259,57,1540,JCP,,15,7.7,4834587,,parline,,,
1261,429,27,Norges Kommunistiske Parti,,1,3.4,60060,,mackie,,,
1262,502,831,MSI-DN,,35,6.1,2238339,,archivio,,,
1263,389,1629,Socialdemokraterne,,63,35.9,1223620,,folketing,,,
1264,229,761,Indipendent - Elena Basescu,,1,4.22,204280,,bec,Elena Băsescu,,
1265,37,1210,Official Ulster Unionist,,1,0.9,125169,,ukeu,Ulster Unionists (UUP) took 1 seat with nearly 21.8% of the vote in Northern Ireland.,,"{""vote_share_regional"": 21.809999999999999}"
1269,387,1324,Centrumdemokraterne,,9,4.7,155464,,folketing,,,
1270,564,1083,Russian National Democratic List,,0,1.16,13006,,cvk,,,
1271,271,1331,Kristeligt Folkep.,,0,1.8,30985,,yb-dnk,,,
1272,673,988,ASD,,0,0.2,246,,no-2010,,,{}
1273,183,151,Kommunistesch Partei Lëtzebuerg – Parti Communiste Luxembourgeois – Kommunistische Partei Luxemburg,,2,5.04,165960,,asl,,,
1274,531,1634,Greenland and Faroe Islands,,4,,,,,,,
1275,28,945,Movement of Social Democrats EDEK,,1,9.85,30169,,"cy-gov, ep",,,
1276,91,368,Liberal Party of Canada,,155,45.5,3696945,,pica,,,
1278,617,1080,Liga Veneta,,1,0.34,125311,,archivio,,,
1279,55,882,v,,3,12.9,346764,,sos,,,
1280,157,211,Det Radikale Venstre,,7,3.5,114888,,folketing,,,
1282,596,47,Néa Đimokratía,,171,41.8,2146365,,no-2010,,,
1284,206,458,LPS,,4,2.2,46574,,bafs,,,
1285,678,311,Playd Cymru (Party of Wales),,0,0.2,45119,,,,,{}
1286,592,1342,IP,,26,40.7,67513,,no-2010,,,
1288,184,723,CVP Christelijke Volkspartij,,50,20,1037309,,cevipol,,,
1289,504,1273,Social Democratic Party,,9,33.79,1358958,,cne,,,
1290,616,1219,Liberals,,8,5.9,114617,,tila,,,
1291,130,1137,Estonian Centre Party,,1,17.5,40704,,vvk,,,
1292,341,345,Democraten '66,,0,2.28,120826,,verk,,,
1296,251,1461,Centerpartiet,,32,12.7,486760,,,,,
1297,524,2317,Strana demokratickej ľavice,,0,2.41,61137,,ssr,,,
1299,121,412,Dansk Samling,,4,3.1,63760,,yb-dnk,,,
1300,507,93,PRI-P.RAD.,,6,1.4,405782,,archivio,,,
1301,399,1338,Panellinio Sosialistikó Kínima,,162,41.49,2813245,,mig,,,
1303,382,65,Madžarska narodna skupnost,,1,,,,voltive,,,
1304,336,1120,P.D.S.R,,155,36.61,3968464,,essex,Electoral alliance: Social Democratic Pole of Romania (Romanian: Polul Democrației Sociale),,
1305,133,395,Social Democratic Party of Finland,,57,26.7,795953,,tila,,,
1307,563,306,Enhedslisten / De Rød-Grønne,,6,3.4,114123,,ejpr,,,
1308,329,1030,SVP,,1,0.45,146357,,archivio,,,
1310,258,657,Moderata samlingspartiet,,41,11.5,573812,,,,,
1311,140,725,Portuguese Socialist Party,,12,46.36,1516001,,cne,,,
1313,129,1252,Liberalna demokracija Slovenije (LDS),,12,14.5,156843,,su,,,
1315,428,904,Socialdemokraterna,,156,43.2,2321826,,,,,
1316,585,902,Socialist Party,,24,35.94,7477823,,epp,,,
1319,373,458,LPS,,6,2.3,23208,,bafs,,,
1323,50,829,Obcanská demokraticka strana,,81,35.38,1892475,,volby,,,
1325,632,978,Fremskridtspartiet,,0,0.5,19340,,folketing,,,{}
1326,584,318,Páirti Lucht Oibre,,19,12.06,161034,,gall-09,,,
1329,508,1059,Trust,,2,0.54,36353,,no-2010,,,
1331,419,1225,CWP,,0,6,8594,,md,,,
1332,416,419,Frontul Salvarii Nationale,,43,10.2,1108500,,essex,,,
1333,118,558,Sozialdemokratische Partei Deutschlands -- spd,,222,34.2,16194665,,,,,
1334,450,882,Sveriges Kommunistiska Parti,,6,5,194016,,,,,
1335,520,1003,MLP,,31,46.5,114911,,md,,,
1336,549,1030,SVP,,1,0.46,143044,,archivio,,,
1337,89,1629,Socialdemokraterne,,62,34.6,1150048,,folketing,,,
1338,292,1392,Social Credit Party,,15,5.42,305973,,pica,,,
1339,121,590,Konservative Folkeparti,,26,18.2,373688,,yb-dnk,,,
1341,620,870,"Független Kisgazda-,Földmunkás és Polgári Párt -- fkgp",,26,8.8,476272,,essex,,,
1342,213,211,Det Radikale Venstre,,13,8.6,178942,,folketing,,,
1343,335,1206,ChristenUnie,,3,2.12,204694,,verk,,,
1344,105,35,SPS,,54,21.8,415226,,bafs,,,
1345,604,1296,P.RAD,,18,3.5,1264870,,archivio,,,
1346,604,1088,PCI,,201,30.4,11139231,,archivio,,,
1347,568,659,L,,14,19.3,6059519,,craig,,,
1348,63,665,KSCS,,32,13.24,954690,,essex,,,
1349,62,235,Christen-Democratisch Appèl,,54,34.59,3172918,,verk,,,
1350,529,300,Anti-Revolutionaire Partij,,13,8.72,545836,,verk,,,
1351,172,967,DP,,9,14.98,432820,,epl,,,
1354,244,984,PN,,15,35.47,39946,,md,,,
1355,628,1136,NFP,,156,28.04,15580053,,parline,,,
1356,564,1368,Latvia's Farmers' Union ( Latvijas zemnieku savienība ),,12,10.65,119116,,cvk,,,
1357,653,1338,Panellinio Sosialistikó Kínima,,12,13.6,666413,,no-2010,,,
1358,30,1264,LdU,,10,5.5,53450,,bafs,,,
1359,129,199,Italijanska narodna skupnost,,1,,,,su,,,
1360,17,487,PLI,,11,2.1,809946,,archivio,,,
1361,521,1167,PdA,,2,0.8,15871,,bafs,,,
1362,551,436,Southern League,,1,0.22,82373,,archivio,,,
1363,175,1461,Centerpartiet,,56,15.5,859618,,,,,
1364,315,659,LD,,46,16.8,5242947,,bef-7,,,
1365,70,851,Democratic Party -- DIK.O,,8,19.5,56749,,parline,,,
1366,218,1142,Hnutie za demokraticke Slovensko -- hzds,,36,19.5,560691,,ssr,,,
1368,273,138,Rally for the Republic / Gaullist Party,,12,12.8,2263201,,frpo,,,
1369,587,345,Democraten 66,,1,5.95,311990,,verk,,,
1370,187,66,Åländsk Samling,,1,0.4,6567,,tila,,,"{""special_district"": true}"
1372,381,633,DFU,,0,1.9,609918,,bwl,,,
1374,502,487,PLI,,5,1.3,480122,,archivio,,,
1375,105,1264,LdU,,3,1.8,34801,,bafs,,,
1379,610,558,Social Democratic Party,,33,37.4,9296417,,bwl,,,
1380,157,367,Faelles Kurs,,0,1.8,57896,,folketing,,,
1381,160,686,Communist Party,,2,5.25,900447,,frpo,,,
1385,116,1409,Volkspartij voor Vrijheid en Democratie,,36,23.08,1900763,,verk,,,
1387,100,1538,Kristelig Folkeparti,,15,8.9,219179,,seby,,,
1388,399,1441,Synaspismós tīs Aristerás kai tīs Proódou,,10,5.12,347051,,mig,,,
1389,535,107,People's Monarchist Party,,0,2.84,155990,,cne,,,
1392,107,1063,Aut. Lib. Democratie,,1,0.09,34168,,archivio,,,
1394,222,1284,Scottish National Party,,1,1.65,230594,,ukeu,,,
1395,81,1452,Pacifistisch-Socialistische Partij,,3,2.12,184422,,verk,,,
1396,453,1311,Communist Party (Interior),,1,1.8,117135,,no-2010,,,
1398,416,713,Partidul Romania Mare,,16,3.9,424061,,essex,,,
1400,497,300,Anti-Revolutionaire Partij,,13,13.21,651612,,verk,,,
1401,17,1080,Liga Veneta-PU,,0,0.77,298402,,archivio,,,{}
1402,650,897,Reform Party,,60,19.35,2513080,,ceoc,,,
1403,164,845,Eusko Alkartasuna -- ea,,1,0.32,80905,,epp,,,
1405,552,296,New Democratic Party,,31,17.28,1713528,,pica,,,
1406,329,399,A.P. UDEUR,,1,1.29,419173,,archivio,,,
1409,484,772,GRÜNE,,27,5.6,2167431,,bwl,,,
1412,74,744,Leefbaar Nederland,,2,1.61,153055,,verk,,,
1413,459,997,National,,55,47.44,760365,,yb-nzl,,,
1414,74,235,Christen-Democratisch Appèl,,43,27.93,2653723,,verk,,,
1416,587,235,Christen-Democratisch Appèl,,10,34.6,1814107,,verk,,,
1417,668,749,Peoples Movement against the EU,,1,7.3,143709,,yb-dnk,,,
1420,239,486,Koond,,7,7.58,36692,,vvk,Electoral alliance with Estonian Country Union (Eesti Maaliit).,,
1422,501,723,CVP,,43,19.3,1165155,,cevipol,,,
1423,108,26,FDP,,51,23.9,230200,,bafs,,,
1424,662,310,déi gréng,,1,16.82,188637,,epl,,,
1425,214,1421,"Coalition of Rolandas Paksas ""For the Order and Justice""",,10,11.36,135807,,vrk,,,"{""seats_alliance"": 10}"
1427,433,1053,DSP,,35,6.78,3663691,,parline,,,
1428,213,1634,Greenland and Faroe Islands,,2,,,,,,,
1429,490,689,SF,,1,0.26,83389,,ark,,,"{""vote_share_calculated"": true}"
1430,3,1538,Kristelig Folkeparti -- krf,,11,6.8,178885,,seby,,,
1431,566,1632,LVP,,1,1.75,22826,,vrk,,,"{""vote_share_calculated"": true}"
1432,578,235,Christen-Democratisch Appèl,,41,26.51,2608573,,verk,,,
1434,409,1605,Venstre,,21,12,371728,,folketing,,,
1435,59,675,Lithuanian Christian Democratic Party,,2,3.07,45227,,vrk,,,
1436,601,296,New Democratic Party,,37,18.2,2515288,,ceoc,,,
1437,65,1593,Psiup,,0,1.9,648571,,archivio,,,
1438,93,791,DIE LINKE,,76,11.9,5155933,,bwl,,,
1440,156,1154,mp,,17,4.6,246392,,sos,,,
1442,207,104,Det norske Arbeiderparti,,71,40.8,1061712,,seby,,,
1444,671,1617,Independent,,1,2.3,,,ovb,,,
1445,27,872,Sdruzeni pro republiku- Republikanska strana Ceskoslovenska -- srr-rsc,,0,3.9,232965,,volby,,,
1446,676,5,Conservative Party,,0,2.9,150385,,ejpr,,,
1447,179,1324,Centrumdemokraterne,,15,8.3,258522,,folketing,,,
1449,133,1292,Left Alliance,,26,13.5,400930,,tila,,,
1450,84,94,Centre Party of Finland,,36,17.3,500478,,tila,,,
1451,229,1015,PNL,,5,14.52,702974,,bec,,,
1452,59,58,Independent candidates,,3,,,,vrk,,,
1453,89,306,Enhedslisten / De Rød-Grønne,,6,3.1,104701,,folketing,,,
1454,518,1374,Centre / Right Alliance,,1,1.4,89811,,macr-90,,,
1456,268,2287,Towarzyctwo Spolecsno-Kulturalne Niemcow wojew katowickiego,,1,0.1,23396,,pkw,Towarzystwo-Społeczno Kulturalne Niemców Województwa Katowickiego (Germans Association of the Voivodeship Katowickie),,
1457,518,1338,Panhellenic Socialist Movement Party,,9,36,2366460,,macr-90,,,
1458,583,1496,Total C,,,41.9,11418455,,craig,,,
1459,309,1418,DF,,2,15.28,357942,,valgside,,,
1460,591,640,PLB,,3,1.3,69139,,cevipol,,,
1461,396,993,VB,,1,1.41,85391,,cevipol,,,
1462,557,118,IU,,3,5.31,1011830,,epp,,,
1463,369,2329,Marian Harkin,,1,4.64,84813,,elec-irl,,,
1464,534,32,People’s Harmony Party ( Tautas saskaņas partija ),,6,5.55,53041,,cvk,,,
1465,629,882,Vänsterpartiet,,22,5.8,324722,,ejpr,,,
1466,4,761,Independent,,1,,,,w,,,
1467,425,2300,Independent Socialists,,1,0.88,46244,,"ibz, mackie",Parti social indépendant (Independent Socialists),,
1468,17,831,MSI-DN,,35,5.9,2281126,,archivio,,,
1469,480,341,PRD,,7,5.02,278561,,cne,,,
1470,523,1435,Høyre,,29,17.38,370370,,nos-sv,,,
1471,243,659,Liberals,,11,13.8,4313804,,,,,
1472,317,725,Partido Socialista,,7,,,,mep,,,
1473,659,706,United List of Social Democrats,,1,14.15,61672,,voltive,,,
1474,599,1173,Komunisticka str.Cech a Moravy,,26,11.27,589765,,volby,,,
1475,475,1441,SYN,,6,3.2,219880,,mig,,,
1476,27,1245,Krestansko demokraticka unie-CSL -- kdu-csl,,20,9,537013,,volby,,,
1477,211,18,Solidarnosc Pracy,,4,2.1,230975,,pkw,,,
1478,554,1175,Shinto Nippon (New Party Japan),,1,2.42,1643506,,parline,,,
1479,467,242,UN.Socialista,,33,7.07,1858116,,archivio,,,
1480,314,1292,Vasemmistoliitto,,17,8.8,244296,,tila,,,
1481,540,772,Green List,,12,10.1,3563268,,,,,
1482,582,1023,Social Democratic & Labour Party,,3,0.4,110970,,bbc,,,
1483,499,647,Venstre,,2,3.2,54243,,nos-sv,,,
1484,188,528,Prawo i Sprawiedliwość,,155,27,3185714,,pkw,,,
1485,630,590,Det Konservative Folkeparti,,30,16.8,364960,,folketing,,,
1486,339,945,Movement of Social Democrats -- KISOS,,4,6.5,26767,,parline,,,
1487,560,528,Prawo i Sprawiedliwość,,166,32.11,5183477,,pkw,,,
1488,215,1461,Centerpartiet,,90,25.1,1295246,,,,,
1489,232,1013,ÖVP,,6,30,858921,,bmi,,,
1492,340,585,Swedish People’s Party in Finland,,24,12.2,111005,,tila,,,
1495,242,1324,Centrumdemokraterne,,6,3.2,102132,,folketing,,,
1496,379,1455,Progressive Party,,19,28.2,25217,,hagstofa,,,
1498,373,750,SVP,,21,11,109621,,bafs,,,
1500,122,1393,Fine Gael,,30,20.5,249329,,,,,
1503,669,104,Det norske Arbeiderparti,,65,35,904382,,seby,,,
1504,686,773,Conservative,,36,33.5,3578218,,ukeu,,,"{""vote_share_calculated"": true}"
1505,671,434,Christian Democratic People's Party,,0,2.3,104892,,,,,
1507,281,725,FRS (+PS),,66,27.76,1673279,,cne,Electoral alliance: Republican and Socialist Front (Frente Republicana e Socialista),"combined number of seats from FRS alliance (63 seats) and votes in constituencies of Azores and Madeira (3 seats, 67081 votes, 1.11 pervote)",
1508,289,1317,Herri Batasuna,,4,1.07,217278,,epp,,,
1509,384,290,VU Volksunie (parti régionaliste flamand),,22,10.2,536287,,cevipol,,,
1510,187,585,Swedish People’s Party in Finland,,13,7.3,137981,,tila,,,
1512,127,1575,Democratic Rally -- DISY,,19,33.56,107223,,parline,,,
1513,624,993,VLAAMS BLOK,,2,9.39,584392,,ibz,,,
1514,34,2328,Pat Cox,,1,2.45,27920,,elec-irl,,,
1515,326,93,PRI,,1,0.74,242786,,archivio,,,
1516,211,900,Mniejszosc Niemiecka,,7,1.2,132059,,pkw,,,
1517,82,1342,IP,,25,37.1,61183,,no-2010,,,
1519,464,590,Det Konservative Folkeparti,,10,5.5,168164,,folketing,,,
1520,607,1536,Bündnis Zukunft Österreich,,21,10.7,522933,,,,,
1521,53,837,Komeito,,55,10.91,6177300,,parline,,,
1523,565,207,Samoobrona Rzeczypospolitej Polskiej,,53,10.2,1327624,,pkw,,,
1525,51,300,Anti-Revolutionaire Partij,,14,8.84,653609,,verk,,,
1527,420,1192,PSC,,24,9.75,543608,,ibz,,,
1528,468,423,Union of Democratic Forces,,0,4.74,91871,,cik,,,
1529,597,1644,Socialistisk Folkeparti,,21,11.5,387122,,folketing,,,
1530,208,453,Others,,2,,,,bef-7,,,
1531,633,1601,Partidul Social Democrat Roman,,2,0.53,73014,,essex,,,
1532,624,454,PRL-FDF,,3,10.03,624445,,ibz,,,
1533,462,21,Lietuvos Zalias Partija -- lzp,,4,,,,essex,,,
1534,603,1053,DSP,,31,7.74,3636591,,parline,,,
1535,175,882,Vänsterpartiet kommunisterna,,20,5.5,308899,,,,,
1536,663,969,FDF,,11,4.2,235152,,cevipol,,,
1537,668,590,Conservative Party,,1,8.5,166884,,yb-dnk,,,
1538,604,93,PRI,,16,3.03,1110209,,archivio,,,
1539,521,224,PSA,,1,0.6,12006,,bafs,,,
1541,150,1051,PSC/CVP,,77,34.45,1785211,,ibz,,,
1544,335,1251,Staatkundig Gereformeerde Partij,,2,1.56,150305,,verk,,,
1546,301,1616,Demokraticka unie -- deu,,0,2.8,169796,,volby,,,
1547,464,978,Fremskridtspartiet,,24,13.6,414219,,folketing,,,
1548,624,161,ECOLO,,3,8.44,525316,,ibz,,,
1549,550,816,DAP,,4,13.28,14010,,md,,,
1550,468,1160,PES BSP DSH,,5,21.41,414786,,cik,,,
1551,322,997,National Party,,39,44.02,806305,,yb-nzl,,,
1552,51,1595,Boerenpartij,,3,1.94,143239,,verk,,,
1553,525,1512,Stranka mladih Slovenije -- sms,,4,4.34,46674,,voltive,,,
1554,616,1292,Left Alliance,,50,23.2,450220,,tila,,,
1555,671,1202,Hungarian Workers' Party,,0,4,179672,,ovb,,,
1558,177,345,Democraten 66,,2,5.8,205623,,verk,,,
1559,524,1620,MOST - HÍD,,10,8.12,205538,,ssr,,,
1560,191,290,VU,,16,8.07,495120,,cevipol,,,
1562,353,242,PSDI,,4,4.32,1514272,,archivio,,,
1564,280,1304,FED.LISTE VERDI,,3,3.78,1317119,,archivio,,,
1566,228,318,Páirti Lucht Oibre,,15,9.12,151875,,gall-09,,,
1568,337,983,LiCS,,0,3.47,19105,,vrk,,,
1569,167,104,Arbeiderp.,,77,46.66,830448,,nos-sv,,,
1570,46,2327,Thomas (T J) Maher,,1,3.4,55499,,elec-irl,,,
1571,352,251,CDS/PP,,15,8.51,451643,,cne,,,
1575,466,1179,La.O.S,,10,3.8,271809,,mig,,,
1576,624,620,VIVANT,,0,1.99,123438,,ibz,,"Sum of votes for ""Vivant"", ""Vivant."" and ""Vivant.."" from ibz.",
1577,188,1140,Socjaldemokracji Polskiej,,0,3.89,459380,,pkw,,,
1578,85,757,Esquerra Republicana de Catalunya,,1,0.66,138118,,epp,,,
1579,195,179,SDS,,2,26.66,123563,,voltive,,,
1583,609,773,C,,197,36.2,9101099,,bef-7,Electoral alliance: National Government,,
1585,525,1587,Demokratichna stranka upokojencev Slovenije -- desus,,4,5.17,55634,,voltive,,,
1586,316,280,Fianna Fáil,,77,39.33,703682,,gall-09,,,
1587,218,559,Strana madarskej koalície-Magyar Koalícío Pártija -- smk,,20,11.16,321069,,ssr,,,
1588,304,1154,Miljöpartiet de gröna,,2,11.02,349114,,val,,,
1589,48,657,Moderata samlingspartiet,,76,21.3,1187335,,yb-swe,,,
1591,288,1644,Socialistisk Folkeparti,,10,5.8,151697,,folketing,,,
1592,578,1501,Groep Wilders/Partij voor de Vrijheid,,9,5.89,579490,,verk,,,
1594,594,310,GLEI-GAP,,1,10.93,110888,,asl,,,
1595,587,1409,Volkspartij voor Vrijheid en Democratie,,3,13.63,714745,,verk,,,
1597,219,873,Listes des Verts (LVEC),,14,16.28,2803759,,ref,Electoral alliance: Europe Ecology -- The Greens (Europe Écologie – Les Verts),,"{""alliance"": true}"
1598,502,242,Psdi,,15,3.4,1239492,,archivio,,,
1599,430,1239,Kommunistiske Parti,,7,4.6,94523,,yb-dnk,,,
1600,384,460,RW Rassemblement wallon,,13,5.9,308004,,cevipol,,,
1601,208,1210,UU,,6,0.8,216839,,bef-7,,,
1602,430,1634,Faroe Islands,,2,,,,,,,
1603,619,251,Social Democratic Center / Popular Party,,2,8.44,283067,,cne,,,
1604,389,1331,Kristeligt Folkeparti,,4,2.5,85656,,folketing,,,
1605,48,882,Vänsterpartiet kommunisterna,,19,5.4,298419,,yb-swe,,,
1608,442,1110,PVV-ELD,,2,9.41,512363,,ibz,,,
1610,683,794,Progressive Conservative Party,,136,35.89,4111559,,pica,,,
1611,228,30,no party affiliation,,4,,,,gall-09,,,
1612,54,904,Socialdemokraterna,,11,,,,w,,,
1613,427,602,EVP,,3,1.8,36017,,bafs,,,
1614,233,453,Others,,3,,,,,,,
1615,226,1331,Kristeligt Folkeparti,,4,2.4,79664,,folketing,,,
1616,597,1331,Kristeligt Folkeparti,,5,2.7,91623,,folketing,,,
1617,674,458,LPS,,5,2.3,22934,,bafs,,,
1619,493,894,Convergència i Unió,,8,2.7,483353,,epp,,,
1621,428,1461,Centerpartiet,,42,11.3,607240,,,,,
1622,375,686,Communist Party,,10,18.9,3870184,,mackie,,,
1624,265,506,LP,,4,7.3,13233,,no-2010,,,
1625,631,141,GPS,,3,1.9,37079,,bafs,,,
1626,34,2217,Sinn Féin,,0,2.97,33823,,eed,,,
1627,675,1313,United Future New Zealand,,3,2.67,60860,,ec-nz,,,
1628,385,558,SPD,,251,38.5,18488668,,bwl,,,
1629,311,2296,Prot U,,1,0.1,35303,,craig,Protestant Unionist Party,,
1630,142,957,Patriotic Popular Movement,,14,8.3,97891,,tila,,,
1631,331,912,DP,,17,3.4,1007282,,"bwl, dhbt","German Party (DP) gained representation in the Bundestag by winning 5 SMD seats (6 total, 3 required) through electoral coordination with the Christian Democrats (CDU).",,"{""seats_smd"": 6}"
1632,674,886,Dem.,,4,2.2,21170,,bafs,,,
1633,615,811,People’s Party  (Tautas partija),,24,21.19,203585,,cvk,,,
1634,175,657,Moderata samlingspartiet,,86,23.6,1313337,,,,,
1635,418,161,Ecologists / Ecologistes confederes pour l'organisation de luttes originales (ECOLO),,10,5.1,312624,,ejpr,,,
1637,523,104,Det norske Arbeiderparti,,62,35.29,759499,,nos-sv,,,
1638,176,531,CVP,,44,20.3,404763,,bafs,,,
1639,15,66,Coalition of Åland,,1,0.4,10472,,tila,,,"{""special_district"": true}"
1640,121,1634,Faroe Islands,,1,,,,,,,
1641,410,689,Sinn Féin,,1,0.8,126184,,ukeu,Sinn Féin (SF) took 1 seat with 26.0% of the vote in Northern Ireland.,,"{""vote_share_calculated"": true, ""vote_share_regional"": 26.0}"
1642,400,1629,Socialdemokraterne,,70,37.3,1074777,,folketing,,,
1643,196,1272,United Kingdom Independence Party,,12,16.2,2660768,,bef-7,,,
1645,474,73,RUIZ-MATEOS - AGRUPACION DE ELECTORES JOSE MARIA RUIZ MATEOS,,2,3.89,608560,,epp,,,
1647,389,1418,Danish Peoples Party,,13,7.4,252429,,folketing,,,
1648,458,1088,PCI,,27,33.33,11714428,,archivio,,,
1649,521,141,GPS,,14,6.1,124149,,bafs,,,
1652,134,357,Socialistische Partij,,2,7.1,323269,,"kiesraad, verk",,,
1654,668,1418,Danish Peoples Party,,1,5.8,114865,,yb-dnk,,,
1655,222,1210,Official Ulster Unionist,,1,1.05,147169,,ukeu,Ulster Unionists (John Taylor) took 1 seat with 21.5% of the vote in Northern Ireland.,,"{""vote_share_regional"": 21.5}"
1657,449,1375,Bulgarian People's Union,,1,,,,w,,,
1660,501,454,PRL,,24,8.6,516291,,cevipol,,,
1661,486,1594,GROEN!,,5,4.38,285989,,ibz,,,
1662,207,1435,Høyre,,50,30.4,791537,,seby,,,
1663,84,1463,Christian Democrats in Finland,,9,4.8,138244,,tila,,,
1664,670,1516,Eesti Ettevotjate Erakond -- EEE,,1,2.39,10953,,vvk,,,
1665,584,923,Clann na Talmhan,,5,3.09,41249,,gall-09,,,
1666,568,453,Others,,2,,,,,,,
1667,562,296,Co-operative Commonwealth Federation,,25,10.71,707659,,pica,,,
1668,330,572,Progressive Party of the Working People -- AKEL,,19,33,121958,,parline,,,
1669,211,629,Sojusz Lewicy Demokratycznej,,60,12,1344820,,pkw,,,"{""alliance"": true}"
1671,369,280,Fianna Fáil,,3,24.08,440562,,eie,,,
1672,100,1435,Høyre,,54,31.7,780372,,seby,,,
1676,497,742,Partij van de Arbeid,,27,25.6,1263058,,verk,,,
1677,17,1088,PCI,,177,26.6,10250644,,archivio,,,
1678,276,794,Progressive Conservative Party,,95,35.44,3369335,,pica,,,
1679,329,1321,RIF.COM.,,5,6.06,1969776,,archivio,,,
1681,387,797,De Groenne,,0,1.4,44960,,folketing,,,
1682,482,1338,Panhellenic Socialist Movement Party,,9,32.91,2115844,,mig,,,
1683,156,904,s,,144,39.9,2113560,,sos,,,
1684,207,702,Senterpartiet,,12,6.6,171770,,seby,,,
1685,255,512,Komitet Wyborczy Platforma Obywatelska RP,,25,44.43,3271852,,pkw,,,
1686,336,419,PD,,31,7.03,762365,,essex,,,
1687,521,1500,Lega,,2,1.4,28290,,bafs,,,
1688,674,750,SVP,,23,11.6,113611,,bafs,,,
1689,633,1015,Partidul National Liberal,,29,6.4,879290,,essex,,,
1690,310,26,FDP,,31,15.8,367304,,"bafs, ejpr",,,
1691,329,1048,UNITI NELL'ULIVO,,24,31.08,10105836,,archivio,,,
1693,214,1045,Tevynes Sajunga - Lietuvos konservatoriai -- ts,,25,14.75,144011,,vrk,,,
1694,670,1064,Eesti Kodanik --,,8,6.89,31553,,vvk,,,
1695,198,1292,Left Wing Alliance,,1,9.1,151291,,tila,,,
1696,467,335,PS d'Az.,,1,0.24,61928,,archivio,,,
1697,590,1573,Green Party-Comhaontas Glas,,1,1.5,24827,,gall-09,,,
1699,65,974,DC-UV-RV-Psdi,,1,0.1,34083,,archivio,,,
1700,524,1432,Kresťanskodemokratické hnutie,,15,8.52,215755,,ssr,,,
1701,556,491,EVRO.KO,,3,5.75,24196,,cy-gov,,,
1702,37,773,Conservative Party,,60,48.4,6508492,,ukeu,,,
1703,521,26,FDP,,44,21,429072,,bafs,,,
1704,190,318,Páirti Lucht Oibre,,20,10.13,209175,,eie,,,
1705,147,1338,PASOK,,10,40.1,2278030,,macr-85,,,
1706,350,878,Labour,,29,35.14,640915,,yb-nzl,,,
1707,468,57,Democrats for a Strong Bulgaria,,0,4.35,84350,,cik,,,
1708,536,119,CSP-EVP,,1,0.2,11999,,ibz,,,
1710,602,1062,Green League,,10,6.8,185894,,tila,,,
1712,335,235,Christen-Democratisch Appèl,,44,28.62,2763480,,verk,,,
1714,524,1142,Ľudová strana - Hnutie za demokratické Slovensko,,0,4.32,109480,,ssr,,,
1715,566,675,LKDP,,16,10.43,136259,,vrk,,,"{""vote_share_calculated"": true}"
1718,684,458,LPS,,7,3.2,30492,,bafs,,,
1719,93,558,SPD,,146,23,9990488,,bwl,,,
1720,79,1541,Citizens for European Development of Bulgaria,,116,39.72,1678641,,cik,,,
1722,363,128,CDU,,2,2.15,670065,,archivio,,,
1723,666,997,National,,46,47.59,557046,,yb-nzl,,,
1724,200,725,Socialist Party,,107,36.61,1912921,,cne,,,
1725,74,1409,Volkspartij voor Vrijheid en Democratie,,24,15.44,1466722,,verk,,,
1726,546,296,New Democratic Party,,9,6.87,939575,,pica,,,
1728,294,1651,Socialno-demokraticka strana na Slovensku -- sdss,,0,4,123426,,ssr,,,
1729,371,458,LPS,,6,2.4,47256,,bafs,,,
1731,686,1284,Scottish National Party,,2,2.51,268528,,ukeu,Scottish National Party (SNP) took 2 seats with 27.2% of the vote in Scotland.,,"{""vote_share_calculated"": true, ""vote_share_regional"": 27.17}"
1732,458,1475,PSI,,9,11.21,3940445,,archivio,,,
1733,435,458,LPS,,8,2.8,51258,,bafs,,,
1734,575,1219,Liberals,,10,5.7,102933,,tila,,,
1735,420,1110,PVV,,17,8.54,475912,,cevipol,,,
1736,555,1400,IE,,0,1.47,3637,,doi,,,
1738,16,973,Social Democratic Party of Austria,,7,31.71,888338,,bmi,,,
1739,327,1124,Your Party (YP),,5,4.27,3005199,,ejpr,,,
1740,554,837,New Komeito,,31,13.25,8987620,,parline,,,
1742,609,1205,ILP,,3,0.2,46769,,bef-7,,,
1743,159,296,New Democratic Party,,30,18.81,2359915,,pica,,,
1745,611,1003,MLP,,23,56.73,68447,,md,,,
1747,52,521,"Latvian National Conservative Union “For Fatherland and Freedom”/LNNK (Apvienība ""Tēvzemei un Brīvībai""/LNNK)",,8,6.94,62989,,cvk,,,
