id,election,party,party_id_source,alliance,seats,vote_share,votes,person,data_source,description,comment,data_json
122,159,368,Liberal Party of Canada,,40,28.02,3516486,,pica,,,
123,638,1029,sp.a,,2,8.21,539393,,ibz,,,
124,62,1409,Volkspartij voor Vrijheid en Democratie,,27,17.41,1596991,,verk,,,
125,568,1284,Scottish National Party,,7,2,633180,,,,,
126,129,65,Madžarska narodna skupnost,,1,,,,su,,,
127,73,1634,Greenland and Faroe Islands,,4,,,,,,,
128,101,1118,National Coalition Party,,28,15,255394,,tila,,,
130,254,443,Valencian Union,,1,0.32,64403,,epp,,,
133,498,1296,Pannella-Bonino,,0,2.2,832213,,archivio,,,
134,428,892,Folkpartiet,,44,12.2,655720,,,,,
135,603,940,SP,,90,21.44,10074101,,parline,,,
137,286,794,Progressive Conservative Party,,208,53.67,3910852,,pica,,,
138,568,1556,Labour,,301,37.2,11645616,,,,,
140,514,1566,Ulster Polpular Unionist Party,,1,0.1,19305,,ejpr,,,
141,512,721,Piratpartiet,,0,0.65,38491,,val,,,{}
142,675,997,National Party,,48,39.1,889813,,ec-nz,,,
143,280,831,MSI-DN,,4,5.51,1918650,,archivio,,,
144,98,1463,Christian Democrats in Finland,,9,3.3,90599,,tila,,,
146,301,29,Svobodni demokrate-Liberalni strana narodne socialni -- sd-lsns,,0,2.05,124165,,volby,,,
149,51,1452,Pacifistisch-Socialistische Partij,,2,1.5,111262,,verk,,,
151,301,77,Duchodci za Zivotny Jistony -- dzj,,0,3.09,187455,,volby,,,
152,556,572,AKEL,,18,31.13,131066,,cy-gov,,,
154,487,196,Strana zelenych -- sz,,0,2.36,112929,,volby,,,
155,413,923,Clann na Talmhan,,2,1.51,17693,,gall-09,,,
156,668,1324,CD,,0,3.5,68717,,yb-dnk,,,
157,507,831,MSI,,24,4.8,1407718,,archivio,,,
159,83,1597,Erakond Isamaa ja Res Publica Liit,,19,17.9,98347,,vvk,,,
160,125,1194,Communistische Partij van Nederland,,6,3.9,246569,,verk,,,
161,257,1617,Sonstige --,,7,1,,,no-2010,,,
162,226,1644,Socialistisk Folkeparti,,27,14.6,490176,,folketing,,,
164,51,342,Politieke Partij Radicalen,,7,4.8,354829,,verk,,,
167,51,1194,Communistische Partij van Nederland,,7,4.47,330398,,verk,,,
168,119,1563,Zdruzenie robotnikov Slovenska -- zrs,,13,7.35,211321,,essex,,,
169,138,1540,JCP,,26,9.34,5302485,,parline,,,
170,102,1556,Labour,,295,48.8,13948883,,,,,
171,598,725,Socialist Party,,101,37.07,2061309,,cne,,,
176,401,915,MR,,23,12.5,853073,,cevipol,,,
177,543,3,Katholieke Nationale Partij,,2,2.71,144520,,verk,,,
178,27,77,Duchodci za Zivotny Jistony -- dzj,,0,3.06,182900,,volby,,,
180,206,35,SPS,,52,23.3,495537,,bafs,,,
181,511,1382,NCP – New Conservative Party,,4,,,,ejpr,,,
182,222,773,Conservative,,45,38.8,5426866,,ukeu,,,
183,582,1250,British National Party,,0,1.9,564331,,bbc,,,
185,679,558,SPD,,298,40.9,20181269,,bwl,,,
186,98,94,Centre Party of Finland,,39,17.6,484772,,tila,,,
188,597,1629,Socialdemokraterne,,56,31.6,1062561,,folketing,,,
189,519,235,Christen-Democratisch Appèl,,7,24.43,1164431,,verk,,,
190,677,509,Union for French Democracy,,25,27.61,5588851,,frpo,,,
191,36,1455,Progressive Party,,9,14.8,27699,,hagstofa,,,
192,200,251,CDS-PP,,42,16.76,876007,,cne,,,
193,181,1062,Vihreä Liitto – Gröna Förbundet,,2,12.4,206439,,tila,,,
194,421,878,Labour Party,,41,48.31,559096,,yb-nzl,,,
195,80,1047,Nova Slovenija-Krscanska Ljudska Stranka -- nsi,,9,9.09,88073,,voltive,,,
196,333,940,SP,,118,21.9,11478742,,parline,,,
197,261,1475,PSU,,91,14.5,4603192,,archivio,,,
198,684,750,SVP,,21,12.1,115976,,bafs,,,
199,145,257,United Social-democratic Welfare Party,,0,2.23,12871,,cvk,,,
200,189,368,Liberal Party of Canada,,125,41.38,2170625,,pica,,,
202,10,1378,PS,,5,13.32,762293,,ibz,,,
203,204,405,Christelijk-Historische Unie,,12,8.14,560033,,verk,,,
205,553,454,PRL,,2,7.18,423479,,ibz,,,
206,581,543,FDP,,52,11.9,2829920,,bwl,,,
208,363,1030,SVP,,0,0.5,155751,,archivio,,,{}
209,339,1049,ADIK,,1,2.2,8860,,parline,,,
210,656,161,ECOLO,,1,3.69,239687,,ibz,,,
211,128,590,Konservative Folkeparti,,4,20.8,414177,,yb-dnk,,,
212,629,904,Socialdemokraterna,,130,35.2,1942625,,ejpr,,,
214,191,1192,PSC,,19,8.01,491908,,cevipol,,,
215,358,1167,PdA,,1,0.8,15528,,bafs,,,
217,517,27,Norges Kommunistiske Parti,,0,1.4,27996,,mackie,,,
218,483,1003,MLP,,35,50.7,132497,,doi,,,
219,56,878,Labour,,56,42.98,829154,,yb-nzl,,,
220,632,1629,Socialdemokraterne,,52,29.1,1003323,,ejpr,,,
221,382,199,Italijanska narodna skupnost,,1,,,,voltive,,,
222,540,524,REP,,0,3.9,1387070,,bwl,,,
223,513,878,Labour Party,,43,39.01,702630,,yb-nzl,,,
224,399,720,Dimokratiko Koinoniko Kinima,,9,4.43,300671,,mig,,,
225,597,1606,Retsforbundet,,0,1.5,50381,,folketing,,,
226,102,1276,Communist Party,,0,0.1,21640,,,,,{}
227,302,521,"Apvienība ""Tēvzemei un Brīvībai""/LNNK",,1,7.45,58991,,cvk,,,
228,534,239,Latvijas Zemnieku Savienība,,8,6.36,60498,,cvk,Electoral alliance with Latgale’s Democratic Party (Latgales Demokrātiskās partijas apvienotais saraksts),,
229,432,535,ATA,,2,11.96,308052,,cik,,,
230,83,113,Eesti Reformierakond,,31,27.8,153044,,vvk,,,
231,628,439,DPJ,,52,16.1,8949190,,parline,,,
232,502,825,PCI-PSI-Pdup,,1,0.07,26748,,archivio,PCI-PSI-PdUP,,
233,71,395,Social Democratic Party of Finland,,54,26.2,527094,,tila,,,
237,13,955,Liberales Forum,,1,,,,mep,,,
238,285,81,SV,,11,6.2,166361,,seby,,,
239,310,628,SD,,0,0.5,12459,,"bafs, ejpr",,,{}
240,273,1101,Alternative Europe (de Villiers List) -- List of the Majority for another Europe,,13,13.1,2304544,,frpo,,,
242,656,171,FN,,0,2.79,181351,,ibz,,,
243,360,873,"Les Verts, Confédération écologiste – Parti écologiste",,9,10.59,1922945,,frpo,,,
245,304,882,Vänsterpartiet,,1,5.66,179182,,val,,,
246,334,94,Center Party,,4,21.3,264640,,tila,,,
247,620,1426,Szabad Demokraták Szövetsége -- szdsz,,69,19.7,1065889,,essex,,,
248,646,58,Issikèlè pats (Unabhängige),,4,,,,vrk,,,
249,117,997,National,,45,47.07,563875,,yb-nzl,,,
250,134,742,Partij van de Arbeid,,3,12.05,548691,,"kiesraad, verk",,,
251,429,1435,Høyre,,29,16.8,301395,,mackie,,,
252,539,191,Peasants' and New Democracy Union,,1,7.41,89452,,vrk,,,
253,505,310,Déi Greng,,1,10.7,108514,,epl,,,
254,91,296,New Democratic Party,,22,16.96,1378260,,pica,,,
255,274,228,SDP,,10,15.5,24459,,no-2010,,,
258,335,357,Socialistische Partij,,9,6.32,609723,,verk,,,
259,121,1239,Kommunistiske Parti,,18,12.5,255236,,yb-dnk,,,
260,469,923,Clann na Talmhan,,3,2.36,28905,,gall-09,,,
261,384,723,CVP Christelijke Volkspartij (parti démocrate chrétien flamand),,50,23.3,1222646,,cevipol,,,
262,620,1183,Agrarszövetség -- asz,,1,2.1,113384,,essex,,,
263,326,436,LEGA D'AZIONE MERID.,,0,0.68,224033,,archivio,,,{}
264,237,462,LP,,22,11.01,6589490,,ejpr,,,
265,237,439,DP,,127,25.18,15067990,,ejpr,,,
266,346,984,Nationalist Party,,2,39.75,97688,,doi,,,
267,150,167,BSP/PSB,,64,28.28,1465503,,ibz,,,
268,439,432,List of LTS and NP (LTS ir NP sarasas),,4,1.99,36916,,essex,,,
269,507,2059,Movimento Autonomista Regionale Piemontese,,0,0.2,70589,,archivio,Movimento Autonomista Regionale Piemontese (Regional Autonomist Movement of Piedmont),,
271,348,890,Radical Socialist Party,,39,11.5,2295119,,mackie,,,
272,582,773,Conservative,,307,36.1,10726614,,bbc,,,
273,511,1165,Jiyu-rengo,,1,,,,ejpr,,,
274,116,625,Gereformeerd Politiek Verbond,,1,0.82,67163,,verk,,,
275,196,319,Democratic Unionist Party,,1,1.03,175761,,ukeu,Democratic Unionists (DUP) took 1 seat with 31.9% of the vote in Northern Ireland.,,"{""vote_share_calculated"": true, ""vote_share_regional"": 31.9}"
276,225,1342,IP,,22,36.2,38170,,no-2010,,,
279,565,900,Mniejszosc Niemiecka,,2,0.4,47230,,pkw,,,
281,144,967,Groupement Patriotique et Démocratique,,9,16.74,366860,,asl,,,
282,503,93,PRI,,23,4.36,1003007,,archivio,,,
284,507,1050,P.Naz.Monarchico,,11,2.2,659997,,archivio,,,
285,539,1045,Fatherland Union -- Homeland Union-Conservatives of Lithuania,,2,12.58,151833,,vrk,,,
286,177,756,GroenLinks,,4,11.85,419869,,verk,,,
287,10,1594,AGALEV,,1,4.31,246712,,ibz,,,
288,667,1452,Pacifistisch-Socialistische Partij,,2,1.84,110499,,verk,,,
289,599,829,Obcanska demokraticka strana,,53,20.22,1057792,,volby,,,
292,242,1629,Socialdemokraterne,,68,38.3,1213456,,folketing,,,
293,655,1010,Mittenpartiema,,3,0.9,41307,,,,,"{""alliance"": true}"
295,52,1520,"Union of Political organizations ""For human rights in united Latvia"" (Politisko organizāciju apvienība ""Par cilvēka tiesībām vienotā Latvijā"")",,6,6.03,54684,,cvk,,,
297,622,702,Senterpartiet,,16,6.8,125643,,mackie,,,
299,516,1173,KSCM,,4,14.18,334577,,volby,,,
300,353,1475,PSI,,9,11.03,3866946,,archivio,,,
301,605,1436,Lega Lombarda,,55,8.7,3395384,,archivio,,,
302,174,1331,KD Christian Democrats,,0,0.9,30013,,ejpr,,,{}
303,387,211,Det Radikale Venstre,,10,5.6,185707,,folketing,,,
304,629,282,Kristdemokraterna,,24,6.6,365998,,ejpr,,,
306,536,161,ECOLO,,1,4.87,290589,,ibz,,,
307,45,1013,Austrian People's Party,,6,32.7,817716,,bmi,,,
310,46,318,Páirti Lucht Oibre,,1,9.5,155782,,ep,,,
311,499,1538,Kristelig Folkeparti,,22,12.4,224355,,nos-sv,,,
312,485,892,Folkpartiet,,26,12.9,398293,,,,,
313,183,701,Lëtzebuerger Sozialistesch Arbechterpartei – Parti Ouvrier Socialiste Luxembourgeois – Luxemburger Sozialistische Arbeiterpartei,,21,33.56,1104740,,asl,,,
314,660,354,Progressive Party,,1,0.91,21241,,ec-nz,,,
317,144,701,Lëtzebuerger Sozialistesch Arbechterpartei – Parti Ouvrier Socialiste Luxembourgeois – Luxemburger Sozialistische Arbeiterpartei,,11,25.97,569025,,asl,,,
318,253,1062,Green League,,14,8,223564,,tila,,,
319,472,892,Folkpartiet liberalerna,,33,9.1,499364,,parline,,,
320,475,47,N.D.,,125,42.74,2935196,,mig,,,
322,372,1409,Volkspartij voor Vrijheid en Democratie,,38,24.69,2124971,,verk,,,
323,434,590,Conservative Party,,3,17.7,368890,,yb-dnk,,,
324,63,789,SD,,0,4.11,296165,,essex,,,
327,285,351,FRP,,41,22.9,614717,,seby,,,
328,634,878,Labour Party,,45,34.68,666759,,yb-nzl,,,
329,427,628,SD,,1,1.8,36222,,bafs,,,
332,580,27,Norges Kommunistiske Parti,,0,1,21517,,mackie,,,
333,295,892,Folkpartiet,,40,17.5,744142,,,,,
336,385,791,PDS,,2,4,1916702,,bwl,Party did not pass the five percent threshold but won 2 SMD seats in the East of Germany. Representation as a parliamentary group would have required 3 SMD seats.,,"{""seats_smd"": 2}"
337,501,1192,PSC,,18,7.1,430712,,cevipol,,,
338,579,1234,Chrëschtlech Sozial Vollekspartei – Parti populaire chrétien social – Christlich Soziale Volkspartei,,22,33.28,883079,,asl,,,
339,233,311,Plaid Cymru -- pcy,,3,0.6,174838,,ejpr,,,
340,372,235,Christen-Democratisch Appèl,,29,18.37,1581053,,verk,,,
342,580,1538,Kristelig Folkeparti,,14,8.7,169303,,mackie,,,
343,247,725,Socialist Party,,116,40.7,2162972,,cne,,,
344,326,596,FORZA ITALIA,,27,30.62,10089139,,archivio,,,
346,435,750,SVP,,23,11.6,212705,,bafs,,,
348,644,167,Socialistische Partij/ P,,66,29.75,1496539,,ibz,,,
349,515,1393,Fine Gael,,40,25.75,342922,,gall-09,,,
350,676,1589,National Initiative Party,,0,2.4,124829,,ejpr,,,
352,617,93,PRI,,29,5.08,1874512,,archivio,,,
353,333,905,Independents,,14,5.05,2645582,,parline,,,
354,471,401,Parti Radical et Radical-Socialiste -- rad,,35,11.11,2131763,,mackie,,,
358,627,1409,Volkspartij voor Vrijheid en Democratie,,22,14.57,1295402,,verk,,,
359,536,1192,PSC,,2,7.04,420198,,ibz,,,
361,413,280,Fianna Fáil,,70,43.83,512073,,gall-09,,,
362,419,393,DNP,,0,1.29,1845,,md,,,
364,274,1455,PP,,13,18.9,29866,,no-2010,,,
367,474,771,European People's Coalition,,1,1.53,238909,,epp,,,
368,512,892,Folkpartiet liberalerna,,24,7.06,420524,,val,,,
369,380,831,MSI,,27,5.1,1570282,,archivio,,,
370,220,104,Det norske Arbeiderparti,,76,41,609348,,mackie,,,
371,213,1606,Danmarks Retsforbund,,9,5.6,116288,,folketing,,,
372,493,902,Partido Socialista Obrero Español,,121,30.5,5469813,,epp,,,
374,80,1512,GREEN PARTY OF SLOVENIA,,0,2.08,20174,,voltive,,,
375,242,1331,Kristeligt Folkeparti,,5,2.6,82133,,folketing,,,
376,2,620,VIVANT,,0,2.1,130701,,ejpr,,,
377,309,1644,SF,,2,15.86,371603,,valgside,,,
378,518,1441,Communist Alliance-SAP ,,4,14.3,941913,,macr-90,,,
380,323,92,Clann na Poblachta,,1,0.75,9427,,gall-09,,,
381,105,141,GPS,,8,5,96069,,bafs,,,
382,493,1221,Partido Argonés Regionalista,,1,0.21,38042,,epp,,,
383,467,1050,P.Naz.Mon.All.D.Lav.,,14,2.8,729078,,archivio,,,
384,79,1254,Blue Coalition,,15,6.76,285662,,cik,,,
386,62,212,Reformatorische Politieke Federatie,,1,0.91,83582,,verk,,,
388,290,311,Plaid Cymru,,2,0.4,125309,,,,,
389,500,520,Bloque Nacionalista Galego,,2,0.84,212543,,epp,,,
390,34,1573,Ecology Party,,2,7.92,90046,,eed,,,
391,269,94,Centre Party of Finland,,59,27.3,308280,,tila,,,
394,315,1284,SNP,,6,2,621550,,bef-7,,,
395,85,637,Centró Democrático y Social,,2,2.88,604309,,epp,,,
398,371,224,PSA,,1,0.3,6706,,bafs,,,
399,119,1000,Demokratická strana -- ds,,0,3.43,98555,,essex,,,
401,515,92,Clann na Poblachta,,2,4.07,54210,,gall-09,,,
402,5,281,PCTP/MRPP,,0,1.29,42940,,cne,,,
403,384,640,Brussels Liberal Party,,3,,,,mackie,,,
404,104,1154,MP,,1,5.96,149603,,val,,,
405,613,1338,Panhellenic Socialist Movement Party,,10,37.6,2458619,,ejpr,,,
406,25,1540,JCP,,16,7.96,5226987,,parline,,,
407,210,251,CDS-PP,,12,7.46,416415,,cne,,,
408,449,784,United Democratic Forces,,2,,,,w,,,
409,593,967,DP,,1,14.87,161507,,epl,,,
410,638,1594,GROEN!,,1,4.9,322149,,ibz,,,
411,239,1590,EÜRP,,6,6.13,29682,,vvk,Electoral allicance with Estonian Social Democratic Labour Party (Eesti Demokraatlikuks Tööparteiks) and Russian Unity Party.,,
412,423,428,Ühendus Vabariigi Eest - Res Publica,,28,24.6,121856,,vvk,,,
413,645,1193,LDP,,298,59,23480170,,no-2001,,,
415,373,531,CVP,,45,22.1,219184,,bafs,,,
